Season No.,Season,Club,Name,Position,Nationatility
1,2020/21,Burnley,Robbie Brady,Midfielder,Ireland
1,2020/21,Burnley,Ashley Westwood,Midfielder,England
1,2020/21,Burnley,Chris Wood,Forward,New Zealand
1,2020/21,Burnley,Ashley Barnes,Forward,England
1,2020/21,Burnley,Jay Rodriguez,Forward,England
1,2020/21,Burnley,Matej Vydra,Forward,Czech Republic
1,2020/21,Burnley,Josh Benson,Midfielder,England
1,2020/21,Burnley,Bobby Thomas,Defender,England
1,2020/21,Burnley,Joel Mumbongo,Forward,Sweden
1,2020/21,Burnley,Ali Koiki,Defender,England
1,2020/21,Burnley,Mace Goodridge,Midfielder,England
1,2020/21,Burnley,Anthony Driscoll-Glennon,Defender,England
1,2020/21,Burnley,Lukas Jensen,Goalkeeper,Denmark
1,2020/21,Burnley,Lewis Richardson,Midfielder,England
1,2020/21,Burnley,Max Thompson,Forward,England
1,2020/21,Burnley,Jimmy Dunne,Defender,Ireland
1,2020/21,Burnley,Will Norris,Goalkeeper,England
1,2020/21,Burnley,Mace Goodridge,Midfielder,England
1,2020/21,Burnley,Dale Stephens,Midfielder,England
1,2020/21,Burnley,Anthony Mancini,Midfielder,France
1,2020/21,Burnley,Richard Nartey,Defender,England
1,2020/21,Burnley,Jimmy Dunne,Defender,Ireland
1,2020/21,Burnley,Anthony Driscoll-Glennon,Defender,England
1,2020/21,Burnley,Lewis Richardson,Midfielder,England
1,2020/21,Burnley,Josh Benson,Midfielder,England
1,2020/21,Burnley,Max Thompson,Forward,England
1,2020/21,Burnley,Joel Mumbongo,Forward,Sweden
1,2020/21,Chelsea,Kepa Arrizabalaga,Goalkeeper,Spain
1,2020/21,Chelsea,Willy Caballero,Goalkeeper,Argentina
1,2020/21,Chelsea,Jamie Cumming,Goalkeeper,England
1,2020/21,Chelsea,Antonio Rüdiger,Defender,Germany
1,2020/21,Chelsea,Marcos Alonso,Defender,Spain
1,2020/21,Chelsea,Andreas Christensen,Defender,Denmark
1,2020/21,Chelsea,Kurt Zouma,Defender,France
1,2020/21,Chelsea,Reece James,Defender,England
1,2020/21,Chelsea,César Azpilicueta,Defender,Spain
1,2020/21,Chelsea,Fikayo Tomori,Defender,England
1,2020/21,Chelsea,Emerson,Defender,Italy
1,2020/21,Chelsea,Hakim Ziyech,Midfielder,Morocco
1,2020/21,Chelsea,Jorginho,Midfielder,Italy
1,2020/21,Chelsea,N'Golo Kanté,Midfielder,France
1,2020/21,Chelsea,Ross Barkley,Midfielder,England
1,2020/21,Chelsea,Ruben Loftus-Cheek,Midfielder,England
1,2020/21,Chelsea,Mateo Kovacic,Midfielder,Croatia
1,2020/21,Chelsea,Mason Mount,Midfielder,England
1,2020/21,Chelsea,Christian Pulisic,Midfielder,United States
1,2020/21,Chelsea,Billy Gilmour,Midfielder,Scotland
1,2020/21,Chelsea,Timo Werner,Forward,Germany
1,2020/21,Chelsea,Tammy Abraham,Forward,England
1,2020/21,Chelsea,Willian,Forward,Brazil
1,2020/21,Chelsea,Pedro,Forward,Spain
1,2020/21,Chelsea,Olivier Giroud,Forward,France
1,2020/21,Chelsea,Callum Hudson-Odoi,Forward,England
1,2020/21,Chelsea,Michy Batshuayi,Forward,Belgium
1,2020/21,Chelsea,Lewis Bate,Midfielder,England
1,2020/21,Chelsea,Ian Maatsen,Defender,Netherlands
1,2020/21,Chelsea,Faustino Anjorin,Midfielder,England
1,2020/21,Chelsea,Armando Broja,Forward,Albania
1,2020/21,Chelsea,Henry Lawrence,Defender,England
1,2020/21,Chelsea,Dynel Simeu,Defender,England
1,2020/21,Chelsea,Ben Chilwell,Defender,England
1,2020/21,Chelsea,Malang Sarr,Defender,France
1,2020/21,Chelsea,Thiago Silva,Defender,Brazil
1,2020/21,Chelsea,Nathan Baxter,Goalkeeper,England
1,2020/21,Chelsea,Juan Familia-Castillo,Defender,Netherlands
1,2020/21,Chelsea,Ethan Ampadu,Defender,Wales
1,2020/21,Chelsea,Conor Gallagher,Midfielder,England
1,2020/21,Chelsea,Harvey Vale,Midfielder,England
1,2020/21,Chelsea,Myles Peart-Harris,Midfielder,England
1,2020/21,Chelsea,Luke McCormick,Midfielder,England
1,2020/21,Chelsea,Lewis Baker,Midfielder,England
1,2020/21,Chelsea,Mario Pasalic,Midfielder,Croatia
1,2020/21,Chelsea,Kai Havertz,Midfielder,Germany
1,2020/21,Chelsea,Édouard Mendy,Goalkeeper,Senegal
1,2020/21,Chelsea,George McEachran,Midfielder,England
1,2020/21,Chelsea,Marco van Ginkel,Midfielder,Netherlands
1,2020/21,Chelsea,Karlo Ziger,Goalkeeper,Croatia
1,2020/21,Chelsea,Faustino Anjorin,Midfielder,England
1,2020/21,Chelsea,Victor Moses,Defender,Nigeria
1,2020/21,Chelsea,Tiemoué Bakayoko,Midfielder,France
1,2020/21,Chelsea,Davide Zappacosta,Defender,Italy
1,2020/21,Chelsea,Lewis Bate,Midfielder,England
1,2020/21,Chelsea,Valentino Livramento,Defender,England
1,2020/21,Crystal Palace,Wayne Hennessey,Goalkeeper,Wales
1,2020/21,Crystal Palace,Vicente Guaita,Goalkeeper,Spain
1,2020/21,Crystal Palace,Nathan Ferguson,Defender,England
1,2020/21,Crystal Palace,Joel Ward,Defender,England
1,2020/21,Crystal Palace,Patrick van Aanholt,Defender,Netherlands
1,2020/21,Crystal Palace,James Tomkins,Defender,England
1,2020/21,Crystal Palace,Scott Dann,Defender,England
1,2020/21,Crystal Palace,Mamadou Sakho,Defender,France
1,2020/21,Crystal Palace,Gary Cahill,Defender,England
1,2020/21,Crystal Palace,Martin Kelly,Defender,England
1,2020/21,Crystal Palace,Luka Milivojevic,Midfielder,Serbia
1,2020/21,Crystal Palace,Max Meyer,Midfielder,Germany
1,2020/21,Crystal Palace,Cheikhou Kouyaté,Midfielder,Senegal
1,2020/21,Crystal Palace,Andros Townsend,Midfielder,England
1,2020/21,Crystal Palace,Jeffrey Schlupp,Midfielder,Ghana
1,2020/21,Crystal Palace,James McArthur,Midfielder,Scotland
1,2020/21,Crystal Palace,James McCarthy,Midfielder,Ireland
1,2020/21,Crystal Palace,Jairo Riedewald,Midfielder,Netherlands
1,2020/21,Crystal Palace,Jordan Ayew,Forward,Ghana
1,2020/21,Crystal Palace,Wilfried Zaha,Forward,Cote D’Ivoire
1,2020/21,Crystal Palace,Christian Benteke,Forward,Belgium
1,2020/21,Crystal Palace,Stephen Henderson,Goalkeeper,Ireland
1,2020/21,Crystal Palace,John-Kymani Gordon,Forward,England
1,2020/21,Crystal Palace,Nikola Tavares,Defender,Croatia
1,2020/21,Crystal Palace,Tyrick Mitchell,Defender,England
1,2020/21,Crystal Palace,Nya Kirby,Midfielder,England
1,2020/21,Crystal Palace,Brandon Pierrick,Forward,England
1,2020/21,Crystal Palace,Sam Woods,Defender,England
1,2020/21,Crystal Palace,Eberechi Eze,Midfielder,England
1,2020/21,Crystal Palace,Jaroslaw Jach,Defender,Poland
1,2020/21,Crystal Palace,Michy Batshuayi,Forward,Belgium
1,2020/21,Crystal Palace,Ryan Inniss,Defender,England
1,2020/21,Crystal Palace,Nathaniel Clyne,Defender,England
1,2020/21,Crystal Palace,Jack Butland,Goalkeeper,England
1,2020/21,Crystal Palace,Jean-Philippe Mateta,Forward,France
1,2020/21,Crystal Palace,Stephen Henderson,Goalkeeper,Ireland
1,2020/21,Crystal Palace,Tyrick Mitchell,Defender,England
1,2020/21,Crystal Palace,Sam Woods,Defender,England
1,2020/21,Crystal Palace,Connor Wickham,Forward,England
1,2020/21,Crystal Palace,Reece Hannam,Defender,England
1,2020/21,Crystal Palace,Jesurun Rak-Sakyi,Midfielder,England
1,2020/21,Everton,Jordan Pickford,Goalkeeper,England
1,2020/21,Everton,João Virgínia,Goalkeeper,Portugal
1,2020/21,Everton,Jonas Lössl,Goalkeeper,Denmark
1,2020/21,Everton,Mason Holgate,Defender,England
1,2020/21,Everton,Michael Keane,Defender,England
1,2020/21,Everton,Lucas Digne,Defender,France
1,2020/21,Everton,Yerry Mina,Defender,Colombia
1,2020/21,Everton,Séamus Coleman,Defender,Ireland
1,2020/21,Everton,Jarrad Branthwaite,Defender,England
1,2020/21,Everton,Jonjoe Kenny,Defender,England
1,2020/21,Everton,Fabian Delph,Midfielder,England
1,2020/21,Everton,Gylfi Sigurdsson,Midfielder,Iceland
1,2020/21,Everton,André Gomes,Midfielder,Portugal
1,2020/21,Everton,Jean-Philippe Gbamin,Midfielder,Cote D’Ivoire
1,2020/21,Everton,Tom Davies,Midfielder,England
1,2020/21,Everton,Beni Baningime,Midfielder,DR Congo
1,2020/21,Everton,Richarlison,Forward,Brazil
1,2020/21,Everton,Dominic Calvert-Lewin,Forward,England
1,2020/21,Everton,Theo Walcott,Forward,England
1,2020/21,Everton,Cenk Tosun,Forward,Turkey
1,2020/21,Everton,Alexander Iwobi,Forward,Nigeria
1,2020/21,Everton,Bernard,Forward,Brazil
1,2020/21,Everton,Moise Kean,Forward,Italy
1,2020/21,Everton,Anthony Gordon,Forward,England
1,2020/21,Everton,Djibril Sidibé,Defender,France
1,2020/21,Everton,Maarten Stekelenburg,Goalkeeper,Netherlands
1,2020/21,Everton,Dennis Adeniran,Midfielder,England
