Season No.,Season,Club,Name,Position,Nationatility
1,2020/21,Tottenham Hotspur,Harry Kane,Forward,England
1,2020/21,Tottenham Hotspur,Steven Bergwijn,Forward,Netherlands
1,2020/21,Tottenham Hotspur,Troy Parrott,Forward,Ireland
1,2020/21,Tottenham Hotspur,Malachi Fagan-Walcott,Defender,England
1,2020/21,Tottenham Hotspur,Jan Vertonghen,Defender,Belgium
1,2020/21,Tottenham Hotspur,Michel Vorm,Goalkeeper,Netherlands
1,2020/21,Tottenham Hotspur,Dennis Cirkin,Defender,England
1,2020/21,Tottenham Hotspur,Pierre-Emile Højbjerg,Midfielder,Denmark
1,2020/21,Tottenham Hotspur,Joe Hart,Goalkeeper,England
1,2020/21,Tottenham Hotspur,Dane Scarlett,Forward,England
1,2020/21,Tottenham Hotspur,Jamie Bowden,Midfielder,Ireland
1,2020/21,Tottenham Hotspur,Harvey White,Midfielder,England
1,2020/21,Tottenham Hotspur,Alfie Devine,Midfielder,England
1,2020/21,Tottenham Hotspur,Matt Doherty,Defender,Ireland
1,2020/21,Tottenham Hotspur,Jubril Okedina,Defender,England
1,2020/21,Tottenham Hotspur,George Marsh,Midfielder,England
1,2020/21,Tottenham Hotspur,Alfie Whiteman,Goalkeeper,England
1,2020/21,Tottenham Hotspur,Brandon Austin,Goalkeeper,England
1,2020/21,Tottenham Hotspur,Sergio Reguilón,Defender,Spain
1,2020/21,Tottenham Hotspur,Gareth Bale,Forward,Wales
1,2020/21,Tottenham Hotspur,Carlos Vinícius,Forward,Brazil
1,2020/21,Tottenham Hotspur,Joe Rodon,Defender,Wales
1,2020/21,Tottenham Hotspur,Alfie Devine,Midfielder,England
1,2020/21,Tottenham Hotspur,Dennis Cirkin,Defender,England
1,2020/21,Tottenham Hotspur,Giovani Lo Celso,Midfielder,Argentina
1,2020/21,Tottenham Hotspur,Dane Scarlett,Forward,England
1,2020/21,Tottenham Hotspur,Marcel Lavinier,Defender,Portugal
1,2020/21,Tottenham Hotspur,Jamie Bowden,Midfielder,Ireland
1,2020/21,Tottenham Hotspur,Nile John,Midfielder,England
1,2020/21,Tottenham Hotspur,Dilan Markanday,Forward,England
1,2020/21,West Bromwich Albion,Sam Johnstone,Goalkeeper,England
1,2020/21,West Bromwich Albion,Darnell Furlong,Defender,England
1,2020/21,West Bromwich Albion,Kieran Gibbs,Defender,England
1,2020/21,West Bromwich Albion,Kyle Bartley,Defender,England
1,2020/21,West Bromwich Albion,Semi Ajayi,Defender,Nigeria
1,2020/21,West Bromwich Albion,Conor Townsend,Defender,England
1,2020/21,West Bromwich Albion,Ahmed Hegazi,Defender,Egypt
1,2020/21,West Bromwich Albion,Dara O'Shea,Defender,Ireland
1,2020/21,West Bromwich Albion,Jake Livermore,Midfielder,England
1,2020/21,West Bromwich Albion,Matt Phillips,Midfielder,Scotland
1,2020/21,West Bromwich Albion,Kamil Grosicki,Midfielder,Poland
1,2020/21,West Bromwich Albion,Rekeem Harper,Midfielder,England
1,2020/21,West Bromwich Albion,Oliver Burke,Midfielder,Scotland
1,2020/21,West Bromwich Albion,Romaine Sawyers,Midfielder,St. Kitts & Nevis
1,2020/21,West Bromwich Albion,Jonathan Leko,Midfielder,England
1,2020/21,West Bromwich Albion,Sam Field,Midfielder,England
1,2020/21,West Bromwich Albion,Hal Robson-Kanu,Forward,Wales
1,2020/21,West Bromwich Albion,Kenneth Zohore,Forward,Denmark
1,2020/21,West Bromwich Albion,Matheus Pereira,Forward,Brazil
1,2020/21,West Bromwich Albion,Charlie Austin,Forward,England
1,2020/21,West Bromwich Albion,Kyle Edwards,Midfielder,England
1,2020/21,West Bromwich Albion,Rayhaan Tulloch,Midfielder,England
1,2020/21,West Bromwich Albion,Finn Azaz,Midfielder,England
1,2020/21,West Bromwich Albion,Grady Diangana,Midfielder,England
1,2020/21,West Bromwich Albion,Callum Robinson,Forward,Ireland
1,2020/21,West Bromwich Albion,Jonathan Bond,Goalkeeper,England
1,2020/21,West Bromwich Albion,Chris Brunt,Midfielder,Northern Ireland
1,2020/21,West Bromwich Albion,Saul Shotton,Defender,England
1,2020/21,West Bromwich Albion,Nathan Ferguson,Defender,England
1,2020/21,West Bromwich Albion,Lee Peltier,Defender,England
1,2020/21,West Bromwich Albion,Gareth Barry,Midfielder,England
1,2020/21,West Bromwich Albion,Rico Richards,Midfielder,England
1,2020/21,West Bromwich Albion,Cédric Kipré,Defender,Cote D’Ivoire
1,2020/21,West Bromwich Albion,Grady Diangana,Midfielder,England
1,2020/21,West Bromwich Albion,David Button,Goalkeeper,England
1,2020/21,West Bromwich Albion,Callum Robinson,Forward,Ireland
1,2020/21,West Bromwich Albion,Lee Peltier,Defender,England
1,2020/21,West Bromwich Albion,Branislav Ivanovic,Defender,Serbia
1,2020/21,West Bromwich Albion,Jamie Soule,Forward,England
1,2020/21,West Bromwich Albion,Conor Gallagher,Midfielder,England
1,2020/21,West Bromwich Albion,Filip Krovinovic,Midfielder,Croatia
1,2020/21,West Bromwich Albion,Karlan Grant,Forward,England
1,2020/21,West Bromwich Albion,Cheikh Diaby,Forward,France
1,2020/21,West Bromwich Albion,Andy Lonergan,Goalkeeper,England
1,2020/21,West Bromwich Albion,Robert Snodgrass,Midfielder,Scotland
1,2020/21,West Bromwich Albion,George Harmon,Defender,England
1,2020/21,West Bromwich Albion,Mbaye Diagne,Forward,Senegal
1,2020/21,West Bromwich Albion,Okay Yokuslu,Midfielder,Turkey
1,2020/21,West Bromwich Albion,Ainsley Maitland-Niles,Midfielder,England
1,2020/21,West Bromwich Albion,Rico Richards,Midfielder,England
1,2020/21,West Bromwich Albion,Caleb Taylor,Defender,England
1,2020/21,West Bromwich Albion,Taylor Gardner-Hickman,Defender,England
1,2020/21,West Bromwich Albion,Caleb Taylor,Midfielder,England
1,2020/21,West Bromwich Albion,Taylor Gardner-Hickman,Defender,England
1,2020/21,West Bromwich Albion,Toby King,Midfielder,England
1,2020/21,West Bromwich Albion,Tim Iroegbunam,Midfielder,England
1,2020/21,West Ham United,Lukasz Fabianski,Goalkeeper,Poland
1,2020/21,West Ham United,Roberto Jiménez,Goalkeeper,Spain
1,2020/21,West Ham United,David Martin,Goalkeeper,England
1,2020/21,West Ham United,Darren Randolph,Goalkeeper,Ireland
1,2020/21,West Ham United,Aaron Cresswell,Defender,England
1,2020/21,West Ham United,Fabián Balbuena,Defender,Paraguay
1,2020/21,West Ham United,Gonçalo Cardoso,Defender,Portugal
1,2020/21,West Ham United,Angelo Ogbonna,Defender,Italy
1,2020/21,West Ham United,Issa Diop,Defender,France
1,2020/21,West Ham United,Ryan Fredericks,Defender,England
1,2020/21,West Ham United,Arthur Masuaku,Defender,DR Congo
1,2020/21,West Ham United,Ben Johnson,Defender,England
1,2020/21,West Ham United,Felipe Anderson,Midfielder,Brazil
1,2020/21,West Ham United,Manuel Lanzini,Midfielder,Argentina
1,2020/21,West Ham United,Robert Snodgrass,Midfielder,Scotland
1,2020/21,West Ham United,Mark Noble,Midfielder,England
1,2020/21,West Ham United,Pablo Fornals,Midfielder,Spain
1,2020/21,West Ham United,Jack Wilshere,Midfielder,England
1,2020/21,West Ham United,Michail Antonio,Forward,Jamaica
1,2020/21,West Ham United,Declan Rice,Midfielder,England
1,2020/21,West Ham United,Andriy Yarmolenko,Forward,Ukraine
1,2020/21,West Ham United,Jarrod Bowen,Forward,England
1,2020/21,West Ham United,Sébastien Haller,Forward,Cote D’Ivoire
1,2020/21,West Ham United,Albian Ajeti,Forward,Switzerland
1,2020/21,West Ham United,Joseph Anang,Goalkeeper,England
1,2020/21,West Ham United,Bernardo Rosa,Midfielder,Brazil
1,2020/21,West Ham United,Alfie Lewis,Midfielder,England
1,2020/21,West Ham United,Nathan Trott,Goalkeeper,England
1,2020/21,West Ham United,Josh Cullen,Midfielder,Ireland
1,2020/21,West Ham United,Xande Silva,Forward,Portugal
1,2020/21,West Ham United,Ajibola Alese,Defender,England
1,2020/21,West Ham United,Harrison Ashby,Defender,Scotland
1,2020/21,West Ham United,Conor Coventry,Midfielder,Ireland
1,2020/21,West Ham United,Emmanuel Longelo,Forward,England
1,2020/21,West Ham United,Vladimir Coufal,Defender,Czech Republic
1,2020/21,West Ham United,Tomas Soucek,Midfielder,Czech Republic
1,2020/21,West Ham United,Craig Dawson,Defender,England
1,2020/21,West Ham United,Saïd Benrahma,Forward,Algeria
1,2020/21,West Ham United,Frederik Alves,Defender,Denmark
1,2020/21,West Ham United,Jamal Baptiste,Defender,England
1,2020/21,West Ham United,Nathan Holland,Midfielder,England
1,2020/21,West Ham United,Ademipo Odubeko,Forward,Ireland
1,2020/21,West Ham United,Oladapo Afolayan,Forward,England
1,2020/21,West Ham United,Jesse Lingard,Midfielder,England
1,2020/21,West Ham United,Ademipo Odubeko,Forward,Ireland
1,2020/21,West Ham United,Saïd Benrahma,Forward,Algeria
1,2020/21,Wolverhampton Wanderers,Matija Sarkic,Goalkeeper,Montenegro
1,2020/21,Wolverhampton Wanderers,Rui Patrício,Goalkeeper,Portugal
1,2020/21,Wolverhampton Wanderers,John Ruddy,Goalkeeper,England
1,2020/21,Wolverhampton Wanderers,Matt Doherty,Defender,Ireland
1,2020/21,Wolverhampton Wanderers,Willy Boly,Defender,Cote D’Ivoire
1,2020/21,Wolverhampton Wanderers,Conor Coady,Defender,England
1,2020/21,Wolverhampton Wanderers,Jonny,Defender,Spain
1,2020/21,Wolverhampton Wanderers,Rúben Vinagre,Defender,Portugal
1,2020/21,Wolverhampton Wanderers,Maximilian Kilman,Defender,England
1,2020/21,Wolverhampton Wanderers,Oskar Buur,Defender,Denmark
1,2020/21,Wolverhampton Wanderers,Bruno Jordão,Midfielder,Portugal
1,2020/21,Wolverhampton Wanderers,Rúben Neves,Midfielder,Portugal
1,2020/21,Wolverhampton Wanderers,Daniel Podence,Midfielder,Portugal
1,2020/21,Wolverhampton Wanderers,Morgan Gibbs-White,Midfielder,England
1,2020/21,Wolverhampton Wanderers,Romain Saïss,Midfielder,Morocco
1,2020/21,Wolverhampton Wanderers,João Moutinho,Midfielder,Portugal
1,2020/21,Wolverhampton Wanderers,Leander Dendoncker,Midfielder,Belgium
1,2020/21,Wolverhampton Wanderers,Pedro Neto,Forward,Portugal
1,2020/21,Wolverhampton Wanderers,Raúl Jiménez,Forward,Mexico
1,2020/21,Wolverhampton Wanderers,Diogo Jota,Forward,Portugal
1,2020/21,Wolverhampton Wanderers,Leonardo Campana,Forward,Ecuador
1,2020/21,Wolverhampton Wanderers,Adama Traoré,Forward,Spain
1,2020/21,Wolverhampton Wanderers,Austin Samuels,Forward,England
1,2020/21,Wolverhampton Wanderers,Chem Campbell,Forward,Wales
1,2020/21,Wolverhampton Wanderers,Luke Cundle,Midfielder,England
1,2020/21,Wolverhampton Wanderers,Owen Otasowie,Midfielder,United States
1,2020/21,Wolverhampton Wanderers,Taylor Perry,Midfielder,England
1,2020/21,Wolverhampton Wanderers,Meritan Shabani,Midfielder,Germany
1,2020/21,Wolverhampton Wanderers,Andreas Söndergaard,Goalkeeper,Denmark
1,2020/21,Wolverhampton Wanderers,Lewis Richards,Defender,Ireland
1,2020/21,Wolverhampton Wanderers,Terry Taylor,Midfielder,Wales
1,2020/21,Wolverhampton Wanderers,Ryan Giles,Midfielder,England
1,2020/21,Wolverhampton Wanderers,Christian Marques,Defender,Portugal
1,2020/21,Wolverhampton Wanderers,Marçal,Defender,Brazil
1,2020/21,Wolverhampton Wanderers,Fábio Silva,Forward,Portugal
1,2020/21,Wolverhampton Wanderers,Vitinha,Midfielder,Portugal
1,2020/21,Wolverhampton Wanderers,Meritan Shabani,Midfielder,Germany
1,2020/21,Wolverhampton Wanderers,Ki-Jana Hoever,Defender,Netherlands
1,2020/21,Wolverhampton Wanderers,Nélson Semedo,Defender,Portugal
1,2020/21,Wolverhampton Wanderers,Rayan Aït-Nouri,Defender,France
1,2020/21,Wolverhampton Wanderers,Theo Corbeanu,Forward,Canada
1,2020/21,Wolverhampton Wanderers,Patrick Cutrone,Forward,Italy
1,2020/21,Wolverhampton Wanderers,Nigel Lonwijk,Defender,Netherlands
1,2020/21,Wolverhampton Wanderers,Willian José,Forward,Brazil
1,2020/21,Wolverhampton Wanderers,Hugo Bueno,Defender,Spain
1,2020/21,Wolverhampton Wanderers,Hugo Bueno,Defender,Spain
1,2020/21,Wolverhampton Wanderers,Andreas Söndergaard,Goalkeeper,Denmark
1,2020/21,Wolverhampton Wanderers,Lewis Richards,Defender,Ireland
1,2020/21,Wolverhampton Wanderers,Christian Marques,Defender,Portugal
1,2020/21,Wolverhampton Wanderers,Morgan Gibbs-White,Midfielder,England
1,2020/21,Wolverhampton Wanderers,Taylor Perry,Midfielder,England
1,2020/21,Wolverhampton Wanderers,Owen Otasowie,Midfielder,United States
1,2020/21,Wolverhampton Wanderers,Luke Cundle,Midfielder,England
1,2020/21,Wolverhampton Wanderers,Leonardo Campana,Forward,Ecuador
2,2019/20,Arsenal,Petr Cech,Goalkeeper,Czech Republic
2,2019/20,Arsenal,Bernd Leno,Goalkeeper,Germany
2,2019/20,Arsenal,Héctor Bellerín,Defender,Spain
2,2019/20,Arsenal,Sokratis Papastathopoulos,Defender,Greece
2,2019/20,Arsenal,Laurent Koscielny,Defender,France
2,2019/20,Arsenal,Stephan Lichtsteiner,Defender,Switzerland
2,2019/20,Arsenal,Rob Holding,Defender,England
2,2019/20,Arsenal,Nacho Monreal,Defender,Spain
2,2019/20,Arsenal,Shkodran Mustafi,Defender,Germany
2,2019/20,Arsenal,Carl Jenkinson,Defender,England
2,2019/20,Arsenal,Konstantinos Mavropanos,Defender,Greece
2,2019/20,Arsenal,Sead Kolasinac,Defender,Bosnia & Herzegovina
2,2019/20,Arsenal,Zech Medley,Defender,England
2,2019/20,Arsenal,Julio Pleguezuelo,Defender,Spain
2,2019/20,Arsenal,Mohamed Elneny,Midfielder,Egypt
2,2019/20,Arsenal,Henrikh Mkhitaryan,Midfielder,Armenia
2,2019/20,Arsenal,Aaron Ramsey,Midfielder,Wales
2,2019/20,Arsenal,Mesut Özil,Midfielder,Germany
2,2019/20,Arsenal,Lucas Torreira,Midfielder,Uruguay
2,2019/20,Arsenal,Ainsley Maitland-Niles,Midfielder,England
2,2019/20,Arsenal,Alexander Iwobi,Midfielder,Nigeria
2,2019/20,Arsenal,Denis Suárez,Midfielder,Spain
2,2019/20,Arsenal,Mattéo Guendouzi,Midfielder,France
2,2019/20,Arsenal,Granit Xhaka,Midfielder,Switzerland
2,2019/20,Arsenal,Joseph Willock,Midfielder,England
2,2019/20,Arsenal,Alexandre Lacazette,Forward,France
2,2019/20,Arsenal,Pierre-Emerick Aubameyang,Forward,Gabon
2,2019/20,Arsenal,Danny Welbeck,Forward,England
2,2019/20,Arsenal,Eddie Nketiah,Forward,England
2,2019/20,Arsenal,Tyreece John-Jules,Forward,England
2,2019/20,Arsenal,Bukayo Saka,Forward,England
2,2019/20,Arsenal,Emile Smith Rowe,Midfielder,England
2,2019/20,Arsenal,Emiliano Martínez,Goalkeeper,Argentina
2,2019/20,Arsenal,David Ospina,Goalkeeper,Colombia
2,2019/20,Arsenal,Calum Chambers,Defender,England
2,2019/20,Arsenal,Matt Macey,Goalkeeper,England
2,2019/20,Arsenal,Dominic Thompson,Defender,England
2,2019/20,Arsenal,Gabriel Martinelli,Forward,Brazil
2,2019/20,Arsenal,James Olayinka,Midfielder,England
2,2019/20,Arsenal,Reiss Nelson,Forward,England
2,2019/20,Arsenal,Dani Ceballos,Midfielder,Spain
2,2019/20,Arsenal,Nicolas Pépé,Forward,Cote D’Ivoire
2,2019/20,Arsenal,Kieran Tierney,Defender,Scotland
2,2019/20,Arsenal,David Luiz,Defender,Brazil
2,2019/20,Arsenal,Tolaji Bola,Defender,England
2,2019/20,Arsenal,Robbie Burton,Midfielder,Wales
2,2019/20,Arsenal,Folarin Balogun,Forward,England
2,2019/20,Arsenal,Pablo Marí,Defender,Spain
2,2019/20,Arsenal,Cédric Soares,Defender,Portugal
2,2019/20,Arsenal,Matthew Smith,Defender,England
2,2019/20,Arsenal,William Saliba,Defender,France
2,2019/20,Aston Villa,Ørjan Nyland,Goalkeeper,Norway
2,2019/20,Aston Villa,Jed Steer,Goalkeeper,England
2,2019/20,Aston Villa,Lovre Kalinic,Goalkeeper,Croatia
2,2019/20,Aston Villa,Mark Bunn,Goalkeeper,England
2,2019/20,Aston Villa,Neil Taylor,Defender,Wales
2,2019/20,Aston Villa,Axel Tuanzebe,Defender,England
2,2019/20,Aston Villa,James Chester,Defender,Wales
2,2019/20,Aston Villa,Alan Hutton,Defender,Scotland
2,2019/20,Aston Villa,Tommy Elphick,Defender,England
2,2019/20,Aston Villa,Ahmed El Mohamady,Defender,Egypt
2,2019/20,Aston Villa,Kortney Hause,Defender,England
2,2019/20,Aston Villa,Dominic Revan,Defender,England
2,2019/20,Aston Villa,Tyrone Mings,Defender,England
2,2019/20,Aston Villa,Glenn Whelan,Midfielder,Ireland
2,2019/20,Aston Villa,John McGinn,Midfielder,Scotland
2,2019/20,Aston Villa,Henri Lansbury,Midfielder,England
2,2019/20,Aston Villa,Jack Grealish,Midfielder,England
2,2019/20,Aston Villa,Tom Carroll,Midfielder,England
2,2019/20,Aston Villa,Conor Hourihane,Midfielder,Ireland
2,2019/20,Aston Villa,Mile Jedinak,Midfielder,Australia
2,2019/20,Aston Villa,Keinan Davis,Forward,England
2,2019/20,Aston Villa,Andre Green,Midfielder,England
2,2019/20,Aston Villa,Birkir Bjarnason,Midfielder,Iceland
2,2019/20,Aston Villa,Albert Adomah,Midfielder,Ghana
2,2019/20,Aston Villa,Tammy Abraham,Forward,England
2,2019/20,Aston Villa,Jonathan Kodjia,Forward,Cote D’Ivoire
2,2019/20,Aston Villa,Jota,Midfielder,Spain
2,2019/20,Aston Villa,Wesley,Forward,Brazil
2,2019/20,Aston Villa,Frédéric Guilbert,Defender,France
2,2019/20,Aston Villa,James Bree,Defender,England
2,2019/20,Aston Villa,Mitchell Clark,Defender,Wales
2,2019/20,Aston Villa,Jake Doyle-Hayes,Midfielder,Ireland
2,2019/20,Aston Villa,Callum O'Hare,Midfielder,England
2,2019/20,Aston Villa,Scott Hogan,Forward,Ireland
2,2019/20,Aston Villa,Rushian Marcus Amari Hepburn-Murphy,Forward,England
2,2019/20,Aston Villa,Harry McKirdy,Forward,England
2,2019/20,Aston Villa,Ross McCormack,Forward,Scotland
2,2019/20,Aston Villa,Matt Targett,Defender,England
2,2019/20,Aston Villa,Kortney Hause,Defender,England
2,2019/20,Aston Villa,Anwar El Ghazi,Midfielder,Netherlands
2,2019/20,Aston Villa,Tyrone Mings,Defender,England
2,2019/20,Aston Villa,Ezri Konsa,Defender,England
2,2019/20,Aston Villa,Björn Engels,Defender,Belgium
2,2019/20,Aston Villa,Trézéguet,Midfielder,Egypt
2,2019/20,Aston Villa,Douglas Luiz,Midfielder,Brazil
2,2019/20,Aston Villa,Tom Heaton,Goalkeeper,England
2,2019/20,Aston Villa,Marvelous Nakamba,Midfielder,Zimbabwe
2,2019/20,Aston Villa,Aaron Tshibola,Midfielder,DR Congo
2,2019/20,Aston Villa,Jacob Ramsey,Midfielder,England
2,2019/20,Aston Villa,Cameron Archer,Forward,England
2,2019/20,Aston Villa,Indiana Vassilev,Forward,United States
2,2019/20,Aston Villa,Danny Drinkwater,Midfielder,England
2,2019/20,Aston Villa,Pepe Reina,Goalkeeper,Spain
2,2019/20,Aston Villa,Mbwana Samatta,Forward,Tanzania
2,2019/20,Aston Villa,Matija Sarkic,Goalkeeper,Montenegro
2,2019/20,Aston Villa,Borja Bastón,Forward,Spain
2,2019/20,Aston Villa,Kaine Hayden,Midfielder,England
2,2019/20,AFC Bournemouth,Artur Boruc,Goalkeeper,Poland
2,2019/20,AFC Bournemouth,Asmir Begovic,Goalkeeper,Bosnia & Herzegovina
2,2019/20,AFC Bournemouth,Mark Travers,Goalkeeper,Ireland
2,2019/20,AFC Bournemouth,Simon Francis,Defender,England
2,2019/20,AFC Bournemouth,Steve Cook,Defender,England
2,2019/20,AFC Bournemouth,Nathan Aké,Defender,Netherlands
2,2019/20,AFC Bournemouth,Charlie Daniels,Defender,England
2,2019/20,AFC Bournemouth,Adam Smith,Defender,England
2,2019/20,AFC Bournemouth,Diego Rico,Defender,Spain
2,2019/20,AFC Bournemouth,Nathaniel Clyne,Defender,England
2,2019/20,AFC Bournemouth,Jack Simpson,Defender,England
2,2019/20,AFC Bournemouth,Chris Mepham,Defender,Wales
2,2019/20,AFC Bournemouth,Dan Gosling,Midfielder,England
2,2019/20,AFC Bournemouth,Andrew Surman,Midfielder,England
2,2019/20,AFC Bournemouth,Jefferson Lerma,Midfielder,Colombia
2,2019/20,AFC Bournemouth,Jordon Ibe,Midfielder,England
2,2019/20,AFC Bournemouth,Lewis Cook,Midfielder,England
2,2019/20,AFC Bournemouth,Junior Stanislas,Midfielder,England
2,2019/20,AFC Bournemouth,David Brooks,Midfielder,Wales
2,2019/20,AFC Bournemouth,Ryan Fraser,Midfielder,Scotland
2,2019/20,AFC Bournemouth,Kyle Taylor,Midfielder,England
2,2019/20,AFC Bournemouth,Matt Butcher,Midfielder,England
2,2019/20,AFC Bournemouth,Nnamdi Ofoborh,Midfielder,Nigeria
2,2019/20,AFC Bournemouth,Lys Mousset,Forward,France
2,2019/20,AFC Bournemouth,Callum Wilson,Forward,England
2,2019/20,AFC Bournemouth,Joshua King,Forward,Norway
2,2019/20,AFC Bournemouth,Dominic Solanke,Forward,England
2,2019/20,AFC Bournemouth,Sam Surridge,Forward,England
2,2019/20,AFC Bournemouth,Tyrone Mings,Defender,England
2,2019/20,AFC Bournemouth,Marc Pugh,Midfielder,England
2,2019/20,AFC Bournemouth,Mihai-Alexandru Dobre,Midfielder,Romania
2,2019/20,AFC Bournemouth,Jermain Defoe,Forward,England
2,2019/20,AFC Bournemouth,Aaron Ramsdale,Goalkeeper,England
2,2019/20,AFC Bournemouth,Lloyd Kelly,Defender,England
2,2019/20,AFC Bournemouth,Connor Mahoney,Midfielder,England
2,2019/20,AFC Bournemouth,Jack Stacey,Defender,England
2,2019/20,AFC Bournemouth,Philip Billing,Midfielder,Denmark
2,2019/20,AFC Bournemouth,Arnaut Danjuma,Forward,Netherlands
2,2019/20,AFC Bournemouth,William Dennis,Goalkeeper,England
2,2019/20,AFC Bournemouth,Jordan Zemura,Defender,Zimbabwe
2,2019/20,AFC Bournemouth,Sam Sherring,Defender,England
2,2019/20,AFC Bournemouth,Harry Wilson,Midfielder,Wales
2,2019/20,AFC Bournemouth,Gavin Kilkenny,Midfielder,Ireland
2,2019/20,AFC Bournemouth,Brennan Camp,Defender,Scotland
2,2019/20,AFC Bournemouth,Corey Jordan,Defender,England
2,2019/20,AFC Bournemouth,Christian Saydee,Midfielder,England
2,2019/20,AFC Bournemouth,Brooklyn Genesini,Defender,England
2,2019/20,AFC Bournemouth,Harry Arter,Midfielder,Ireland
2,2019/20,Brighton and Hove Albion,Mat Ryan,Goalkeeper,Australia
2,2019/20,Brighton and Hove Albion,Jason Steele,Goalkeeper,England
2,2019/20,Brighton and Hove Albion,David Button,Goalkeeper,England
2,2019/20,Brighton and Hove Albion,Robert Sánchez,Goalkeeper,Spain
2,2019/20,Brighton and Hove Albion,Bruno,Defender,Spain
2,2019/20,Brighton and Hove Albion,Gaëtan Bong,Defender,Cameroon
2,2019/20,Brighton and Hove Albion,Shane Duffy,Defender,Ireland
2,2019/20,Brighton and Hove Albion,Lewis Dunk,Defender,England
2,2019/20,Brighton and Hove Albion,Leon Balogun,Defender,Nigeria
2,2019/20,Brighton and Hove Albion,Martín Montoya,Defender,Spain
2,2019/20,Brighton and Hove Albion,Bernardo,Defender,Brazil
2,2019/20,Brighton and Hove Albion,Dan Burn,Defender,England
2,2019/20,Brighton and Hove Albion,Leo Østigard,Defender,Norway
2,2019/20,Brighton and Hove Albion,Dale Stephens,Midfielder,England
2,2019/20,Brighton and Hove Albion,Beram Kayal,Midfielder,Israel
2,2019/20,Brighton and Hove Albion,Yves Bissouma,Midfielder,Mali
2,2019/20,Brighton and Hove Albion,Anthony Knockaert,Midfielder,France
2,2019/20,Brighton and Hove Albion,Pascal Groß,Midfielder,Germany
2,2019/20,Brighton and Hove Albion,Solly March,Midfielder,England
2,2019/20,Brighton and Hove Albion,Davy Pröpper,Midfielder,Netherlands
2,2019/20,Brighton and Hove Albion,Jayson Molumby,Midfielder,Ireland
2,2019/20,Brighton and Hove Albion,Will Collar,Midfielder,England
2,2019/20,Brighton and Hove Albion,Jürgen Locadia,Forward,Netherlands
2,2019/20,Brighton and Hove Albion,Florin Andone,Forward,Romania
2,2019/20,Brighton and Hove Albion,Alireza Jahanbakhsh,Forward,Iran
2,2019/20,Brighton and Hove Albion,Glenn Murray,Forward,England
2,2019/20,Brighton and Hove Albion,José Izquierdo,Forward,Colombia
2,2019/20,Brighton and Hove Albion,Viktor Gyökeres,Forward,Sweden
2,2019/20,Brighton and Hove Albion,Aaron Connolly,Forward,Ireland
2,2019/20,Brighton and Hove Albion,Tudor Baluta,Defender,Romania
2,2019/20,Brighton and Hove Albion,Jan Mlakar,Forward,Slovenia
2,2019/20,Brighton and Hove Albion,Ezequiel Schelotto,Defender,Argentina
2,2019/20,Brighton and Hove Albion,Alexis Mac Allister,Midfielder,Argentina
2,2019/20,Brighton and Hove Albion,Markus Suttner,Defender,Austria
2,2019/20,Brighton and Hove Albion,Oliver Norwood,Midfielder,Northern Ireland
2,2019/20,Brighton and Hove Albion,Ben Barclay,Defender,England
2,2019/20,Brighton and Hove Albion,Tomer Hemed,Forward,Israel
2,2019/20,Brighton and Hove Albion,Matthew Clarke,Defender,England
2,2019/20,Brighton and Hove Albion,Leandro Trossard,Forward,Belgium
2,2019/20,Brighton and Hove Albion,Tudor Baluta,Defender,Romania
2,2019/20,Brighton and Hove Albion,Billy Arce,Midfielder,Ecuador
2,2019/20,Brighton and Hove Albion,Percy Tau,Forward,South Africa
2,2019/20,Brighton and Hove Albion,Adam Webster,Defender,England
2,2019/20,Brighton and Hove Albion,Neal Maupay,Forward,France
2,2019/20,Brighton and Hove Albion,Aaron Mooy,Midfielder,Australia
2,2019/20,Brighton and Hove Albion,Soufyan Ahannach,Midfielder,Netherlands
2,2019/20,Brighton and Hove Albion,Max Sanders,Midfielder,England
2,2019/20,Brighton and Hove Albion,Steven Alzate,Forward,Colombia
2,2019/20,Brighton and Hove Albion,Warren O'Hora,Defender,Ireland
2,2019/20,Brighton and Hove Albion,Bojan Radulovic Samoukovic,Forward,Serbia
2,2019/20,Brighton and Hove Albion,Archie Davies,Defender,England
2,2019/20,Brighton and Hove Albion,Romaric Yapi,Defender,France
2,2019/20,Brighton and Hove Albion,Alex Cochrane,Defender,England
2,2019/20,Brighton and Hove Albion,Peter Gwargis,Midfielder,Sweden
2,2019/20,Brighton and Hove Albion,Taylor Richards,Midfielder,England
2,2019/20,Brighton and Hove Albion,Jack Spong,Midfielder,England
2,2019/20,Brighton and Hove Albion,Teddy Jenks,Midfielder,England
2,2019/20,Brighton and Hove Albion,Andrew Crofts,Midfielder,Wales
2,2019/20,Brighton and Hove Albion,Jordan Davies,Midfielder,Wales
2,2019/20,Brighton and Hove Albion,Ryan Longman,Midfielder,England
2,2019/20,Brighton and Hove Albion,Aaron Mooy,Midfielder,Australia
2,2019/20,Brighton and Hove Albion,Tariq Lamptey,Defender,England
2,2019/20,Brighton and Hove Albion,Benjamin White,Defender,England
2,2019/20,Brighton and Hove Albion,Christian Walton,Goalkeeper,England
2,2019/20,Brighton and Hove Albion,Haydon Roberts,Defender,England
2,2019/20,Burnley,Tom Heaton,Goalkeeper,England
2,2019/20,Burnley,Joe Hart,Goalkeeper,England
